"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C"
1460900,1110300,1345600,"g6545.t1","green","green","grey"
40147000,43250000,61466000,"g6619.t1","brown","brown","grey"
9007700,0,5336300,"g6636.t1","yellow","blue","grey"
3311500,2324100,1736000,"g6661.t1","magenta","brown","grey"
0,0,1918700,"g6682.t1","brown","brown","blue"
317410,617860,489530,"g6685.t1","yellow","blue","grey"
1429000,3661600,3876900,"g6702.t1","turquoise","black","grey"
1641600,0,0,"g6712.t1","turquoise","black","turquoise"
15217000,55879000,7879900,"g6715.t1","blue","blue","grey"
0,0,1273500,"g6716.t1","brown","brown","blue"
0,0,737520,"g6730.t1","brown","brown","blue"
653570,760110,753370,"g6800.t1","turquoise","black","grey"
3378500,3944500,3805600,"g6807.t1","black","black","grey"
1660700,0,1630000,"g6808.t1","blue","blue","grey"
0,971100,614210,"g6829.t1","yellow","blue","grey"
0,0,2861300,"g683.t1","brown","brown","blue"
1651100,0,0,"g6833.t1","turquoise","black","turquoise"
9613400,6479400,3947300,"g684.t1","magenta","brown","grey"
8592200,7083500,9424800,"g6847.t1","red","green","grey"
2682100,1551200,2954500,"g6849.t1","blue","blue","grey"
0,1465000,399930,"g685.t1","green","green","grey"
0,1731100,0,"g6878.t1","blue","blue","brown"
246460,326380,0,"g6883.t1","brown","brown","grey"
0,348220,569630,"g692.t1","magenta","brown","grey"
0,1287500,652980,"g6921.t1","yellow","blue","grey"
20650000,6850500,6133700,"g6941.t1","turquoise","black","grey"
904620,0,1338600,"g6945.t1","red","green","grey"
0,0,2067400,"g6981.t1","brown","brown","blue"
42870000,45083000,48834000,"g6992.t1.g11187.t1","pink","brown","grey"
1084100,0,0,"g700.t1","turquoise","black","turquoise"
1957300,2726900,2459800,"g7016.t1","yellow","blue","grey"
0,2611300,1967700,"g7025.t1","black","black","grey"
2281300,0,1226300,"g7067.t1.g7067.t2","yellow","blue","grey"
1804300,5158500,759490,"g7075.t1","blue","blue","grey"
4654300,0,1686300,"g708.t1","yellow","blue","grey"
35943000,12578000,30041000,"g7085.t1","green","green","grey"
1817400,1792200,3244500,"g7089.t1","brown","brown","grey"
3088400,5725800,3341800,"g7102.t1","blue","blue","grey"
7238600,2901000,3931800,"g7113.t1","black","black","grey"
1034100,0,706970,"g7114.t1","green","green","grey"
11505000,15122000,30301000,"g7122.t1","brown","brown","grey"
45324000,46183000,47803000,"g7131.t1","pink","brown","grey"
2744300,3129600,3145200,"g7155.t1","turquoise","black","grey"
463280,0,479960,"g7165.t1","blue","blue","grey"
37887000,32133000,74936000,"g7188.t1","brown","brown","grey"
3918700,6168700,5886100,"g7199.t1","black","black","grey"
13869000,14089000,3116400,"g7201.t1","brown","brown","grey"
310030,0,0,"g7238.t1","turquoise","black","turquoise"
9997800,3848300,5244600,"g7315.t1","black","black","grey"
527710,1029000,1228300,"g7349.t1","turquoise","black","grey"
6677600,3967300,3251100,"g7365.t1","turquoise","black","grey"
1307700,0,2636200,"g7379.t1","red","green","grey"
0,0,379870,"g739.t1","brown","brown","blue"
0,395350,313820,"g7396.t1","black","black","grey"
1010700,728670,1810300,"g7401.t1","brown","brown","grey"
11126000,12708000,8055800,"g7406.t1","red","green","grey"
0,817520,549870,"g7416.t1","yellow","blue","grey"
7808700,6457000,3225200,"g7422.t1","pink","brown","grey"
25899000,15801000,15166000,"g7424.t1","turquoise","black","grey"
1880800,4935900,2374600,"g7453.t1","green","green","grey"
2603800,1793700,3127000,"g7469.t1","red","green","grey"
0,0,620200,"g747.t1","brown","brown","blue"
2380900,3485800,3130200,"g7476.t1","yellow","blue","grey"
10691000,4164800,8863400,"g7479.t1","green","green","grey"
2591100,0,2446800,"g7490.t1","blue","blue","grey"
3890900,637030,981910,"g7527.t1","black","black","grey"
862290,992670,1007200,"g753.t1","turquoise","black","grey"
670800,1497800,1274300,"g7543.t1","black","black","grey"
1016800,3636000,880440,"g7547.t1","blue","blue","grey"
1759200,2171500,1944900,"g7615.t1","yellow","blue","grey"
5195600,979190,2263800,"g7621.t1","yellow","blue","grey"
5497700,2414500,1536200,"g7626.t1","turquoise","black","grey"
0,3432500,0,"g7660.t1","blue","blue","brown"
343310,0,0,"g7671.t1","turquoise","black","turquoise"
13720000,5121600,4945900,"g7676.t1","turquoise","black","grey"
2838800,9779800,7081000,"g7683.t1","yellow","blue","grey"
317270,0,157470,"g7729.t1","yellow","blue","grey"
1577800,3995200,2197400,"g7730.t1","green","green","grey"
0,0,536670,"g7765.t1","brown","brown","blue"
3642800,2325400,4391800,"g7769.t1","red","green","grey"
381880,808480,695920,"g7778.t1","black","black","grey"
2406200,1375800,1624700,"g7807.t1","black","black","grey"
0,0,896770,"g7816.t1","brown","brown","blue"
5800100,6637600,15575000,"g7851.t1","brown","brown","grey"
1136300,0,0,"g7861.t1","turquoise","black","turquoise"
58638000,25658000,19824000,"g787.t1","turquoise","black","grey"
18581000,18146000,27824000,"g79.t1.g79.t2","brown","brown","grey"
6033800,3593700,2939800,"g7902.t1","turquoise","black","grey"
1416600,3321000,2629500,"g8010.t1","yellow","blue","grey"
